year,pdf_url,source_url,domain,score,status,file_path
2005,https://www.selfstudys.com/sitepdfs/M1aJt5EJCYlkr96RSSwJ,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2005/aiims-paper/81483,www.selfstudys.com,111,ok,data\neet_papers\papers\neet_2005_01_selfstudys.com.pdf
2005,https://www.selfstudys.com/sitepdfs/bZvIX9TTlG0fvmTPhAWJ,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2005/aipmt-preliminary-paper/81482,www.selfstudys.com,111,ok,data\neet_papers\papers\neet_2005_02_selfstudys.com.pdf
2006,https://www.selfstudys.com/sitepdfs/FSgA9VukHIqvnSuDC7YB,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2006/aiims-paper/81481,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2006_01_selfstudys.com.pdf
2006,https://www.selfstudys.com/sitepdfs/3BVm0FjlH7dZLioDEfLP,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2006/aipmt-preliminary-paper/81480,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2006_02_selfstudys.com.pdf
2007,https://www.selfstudys.com/sitepdfs/m956QMpVwPQHei3ODfhv,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2007/aiims-paper/81479,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2007_01_selfstudys.com.pdf
2007,https://www.selfstudys.com/sitepdfs/JRRZMNN8GgZYXElZdLEw,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2007/aipmt-mains-paper/81478,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2007_02_selfstudys.com.pdf
2007,https://www.selfstudys.com/sitepdfs/zMI1DqZiUDi5rl9esy9c,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2007/aipmt-preliminary-paper/81477,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2007_03_selfstudys.com.pdf
2008,https://www.selfstudys.com/sitepdfs/WlwYAzrSd6DnthqSYwni,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2008/aiims-paper/81471,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2008_01_selfstudys.com.pdf
2008,https://www.selfstudys.com/sitepdfs/mKsKAzKRTWE6kWJNSenS,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2008/aipmt-mains-paper/81470,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2008_02_selfstudys.com.pdf
2008,https://www.selfstudys.com/sitepdfs/qobbaBj0pizzpj8fpXHV,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2008/aipmt-preliminary-paper/81469,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2008_03_selfstudys.com.pdf
2009,https://www.selfstudys.com/sitepdfs/sc0ZCzQi4QihqpS1hTlX,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2009/aiims-paper/81468,www.selfstudys.com,111,exists,data\neet_papers\papers\neet_2009_01_selfstudys.com.pdf
